Test,Vertices,filename,Brute Force,Brute Force Time,Heuristic,Heuristic Time
20,45,"7/test_v(45)_p([0.02, 0.6])_no(20).txt",4,0.0005409717559814453,4,0.021085023880004883
21,45,"7/test_v(45)_p([0.02, 0.6])_no(21).txt",8,0.01145315170288086,7,0.007888317108154297
22,45,"7/test_v(45)_p([0.02, 0.6])_no(22).txt",5,0.001711130142211914,5,0.014826059341430664
23,45,"7/test_v(45)_p([0.02, 0.6])_no(23).txt",14,0.6194601058959961,14,0.0034339427947998047
24,45,"7/test_v(45)_p([0.02, 0.6])_no(24).txt",4,0.0005631446838378906,4,0.020885944366455078
25,45,"7/test_v(45)_p([0.02, 0.6])_no(25).txt",5,0.0010838508605957031,5,0.017251968383789062
26,45,"7/test_v(45)_p([0.02, 0.6])_no(26).txt",5,0.0012638568878173828,5,0.015903949737548828
27,45,"7/test_v(45)_p([0.02, 0.6])_no(27).txt",9,0.018690109252929688,9,0.007298946380615234
28,45,"7/test_v(45)_p([0.02, 0.6])_no(28).txt",5,0.0019390583038330078,5,0.013978004455566406
29,45,"7/test_v(45)_p([0.02, 0.6])_no(29).txt",9,0.03104424476623535,9,0.006165027618408203
0,55,"7/test_v(55)_p([0.02, 0.6])_no(0).txt",11,0.2899172306060791,10,0.009425163269042969
