2024-12-08 16:45:51,797 - INFO - Test: 47, Vertices: 25, Time: 0.001275777816772461, Independent Set Size: 9
2024-12-08 16:45:51,800 - INFO - Test: 48, Vertices: 25, Time: 0.0014629364013671875, Independent Set Size: 7
2024-12-08 16:45:51,802 - INFO - Test: 49, Vertices: 25, Time: 0.0012352466583251953, Independent Set Size: 8
2024-12-08 16:45:51,806 - INFO - Test: 0, Vertices: 35, Time: 0.0022263526916503906, Independent Set Size: 12
2024-12-08 16:45:51,811 - INFO - Test: 1, Vertices: 35, Time: 0.004034757614135742, Independent Set Size: 8
2024-12-08 16:45:51,817 - INFO - Test: 2, Vertices: 35, Time: 0.004792690277099609, Independent Set Size: 6
2024-12-08 16:45:51,823 - INFO - Test: 3, Vertices: 35, Time: 0.005164623260498047, Independent Set Size: 7
2024-12-08 16:45:51,827 - INFO - Test: 4, Vertices: 35, Time: 0.002324342727661133, Independent Set Size: 13
2024-12-08 16:45:51,832 - INFO - Test: 5, Vertices: 35, Time: 0.003672361373901367, Independent Set Size: 8
2024-12-08 16:45:51,841 - INFO - Test: 6, Vertices: 35, Time: 0.006978511810302734, Independent Set Size: 5
2024-12-08 16:45:51,850 - INFO - Test: 7, Vertices: 35, Time: 0.007709980010986328, Independent Set Size: 6
2024-12-08 16:45:51,853 - INFO - Test: 8, Vertices: 35, Time: 0.0018680095672607422, Independent Set Size: 16
2024-12-08 16:45:51,860 - INFO - Test: 9, Vertices: 35, Time: 0.005976200103759766, Independent Set Size: 6
2024-12-08 16:45:51,864 - INFO - Test: 10, Vertices: 35, Time: 0.002650022506713867, Independent Set Size: 12
2024-12-08 16:45:51,870 - INFO - Test: 11, Vertices: 35, Time: 0.004513978958129883, Independent Set Size: 8
2024-12-08 16:45:51,879 - INFO - Test: 12, Vertices: 35, Time: 0.007122516632080078, Independent Set Size: 6
2024-12-08 16:45:51,886 - INFO - Test: 13, Vertices: 35, Time: 0.006298542022705078, Independent Set Size: 6
2024-12-08 16:45:51,895 - INFO - Test: 14, Vertices: 35, Time: 0.007192134857177734, Independent Set Size: 5
2024-12-08 16:45:51,902 - INFO - Test: 15, Vertices: 35, Time: 0.005223751068115234, Independent Set Size: 7
